id,clean_text,createdAt,type
1564471648840912896,"komisi iii dpr memberi restu untuk naturalisasi calon pemain timnas sepak bola indonesia jordi amat dan sandy walsh. dengan mendapatkan restu dari dpr, maka proses naturalisasi jordi amat dan sandy walsh berjalan baik.",2022-08-30 04:34:42+00:00,information
1564194170042216448,"repost : hai sobatparlemen! banyak pertanyaan nih dari kalian mengenai proses naturalisasi pemain timnas indonesia. nah, ketua komisi x dpr ri, syaiful huda menjawab sampai mana proses naturalisasi pemain timnas indonesia sekarang. yuk, simak tayangan berikut ini!",2022-08-29 10:12:06+00:00,information
1564231951434653696,raker komisi iii dpr dengan pssi telah selesai digelar dan alhamdulillah hasilnya sangat membahagiakan. permohonan naturalisasi untuk dan telah dikabulkan dan mereka dapat segera bergabung dengan timnas indonesia setelah pengambilan sumpah menjadi wni.,2022-08-29 12:42:13+00:00,information
1564193528955412480,berita timnas indonesia: dpr setujui proses naturalisasi jordi amat dan sandy walsh tempobola,2022-08-29 10:09:33+00:00,information
1561672026951061504,"timnas indonesia vs curacao sebentar lagi digelar, proses naturalisasi jordi amat dan sandy walsh malah belum dibahas dpr!",2022-08-22 11:10:00+00:00,information
1564434256411361281,"komisi iii dpr ri memberikan tiga pesan peringatan untuk calon naturalisasi timnas indonesia, jordi amat dan sandy walsh.",2022-08-30 02:06:07+00:00,information
1554974526152544256,"berkas 3 pemain naturalisasi timnas indonesia sudah diterima dpr, ketum pssi harap rampung sebelum fifa matchday september 2022 lengkapcepatberitanya bola sepakbola sepakboladunia boladunia .",2022-08-03 23:36:31+00:00,information
1564567109861945349,dpr setujui naturalisasi jordi amat dan sandy walsh,2022-08-30 10:54:01+00:00,information
1560262747048161281,"profil biodata dan agama kevin diks, mantan calon pemain naturalisasi timnas indonesia yang selangkah lagi mentas di liga champions lengkapcepatberitanya bola sepakbola sepakboladunia boladunia .",2022-08-18 13:50:01+00:00,information
1564219981117927425,naturalisasi jordi amat da sandy walsh sudah disetujui oleh komisi iii dpr ri. apakah keduanya sudah bisa membela timnas indonesia di fifa matchday? kumparanbola,2022-08-29 11:54:39+00:00,information
1564407671796539394,"prose naturalisasi segera selesai, sandy walsh dan jordi amat diharapkan mampu jadi pembeda di timnas indonesia lengkapcepatberitanya bola sepakbola sepakboladunia boladunia .",2022-08-30 00:20:28+00:00,information
1559153975055622145,"ketua umum pssi, mochamad iriawan, memberikan perkembangan terbaru mengenai calon pemain naturalisasi timnas indonesia. kumparanbola",2022-08-15 12:24:09+00:00,information
1562416938550284288,"dalam raker yang dihadiri oleh menpora, dpr mengatakan bahwa mereka akan mengerjakan permohonan naturalisasi ini pada bulan september banggasepakbolakita",2022-08-24 12:30:01+00:00,information
1564264106571464705,"pssi raker dengan dpr bahas naturalisasi sandy walsh dan jordi amat, diharap bisa bela timnas indonesia vs curacao",2022-08-29 14:50:00+00:00,information
